task_type	task_name	url	description	tag	external_id	external_id_new
/common/topic	Announced G Adin Hill, F Christian Fischer and D Dysin Mayo will join Springfield (AHL) upon completion of their junior hockey seasons.	http://espn.go.com/nhl/transactions/_/date/20160407#Announced_G_Adin_Hill,_F_Christian_Fischer_and_D_Dysin_Mayo_will_join_Springfield_(AHL)_upon_completion_of_their_junior_hockey_seasons.	*Find or create each transaction and curate as per guidelines* Transaction: Announced G Adin Hill, F Christian Fischer and D Dysin Mayo will join Springfield (AHL) upon completion of their junior hockey seasons. # Date: 2016-04-07 # URL: http://espn.go.com/nhl/transactions/_/date/20160407#Announced_G_Adin_Hill,_F_Christian_Fischer_and_D_Dysin_Mayo_will_join_Springfield_(AHL)_upon_completion_of_their_junior_hockey_seasons.	SPLGROUSNflMar14	transactions/_/date/20160407#Announced_G_Adin_Hill,_F_Christian_Fischer_and_D_Dysin_Mayo_will_join_Springfield_(AHL)_upon_completion_of_their_junior_hockey_seasons.	transactions/_/date/20160407#Announced_G_Adin_Hill,_F_Christian_Fischer_and_D_Dysin_Mayo_will_join_Springfield_(AHL)_upon_completion_of_their_junior_hockey_seasons.
/common/topic	Called up Fs Evan Rodrigues and Cole Schneider from Rochester (AHL).	http://espn.go.com/nhl/transactions/_/date/20160407#Called_up_Fs_Evan_Rodrigues_and_Cole_Schneider_from_Rochester_(AHL).	*Find or create each transaction and curate as per guidelines* Transaction: Called up Fs Evan Rodrigues and Cole Schneider from Rochester (AHL). # Date: 2016-04-07 # URL: http://espn.go.com/nhl/transactions/_/date/20160407#Called_up_Fs_Evan_Rodrigues_and_Cole_Schneider_from_Rochester_(AHL).	Called	transactions/_/date/20160407#Called_up_Fs_Evan_Rodrigues_and_Cole_Schneider_from_Rochester_(AHL).	transactions/_/date/20160407#Called_up_Fs_Evan_Rodrigues_and_Cole_Schneider_from_Rochester_(AHL).
/common/topic	Recalled C Jason Dickinson from Texas (AHL).	http://espn.go.com/nhl/transactions/_/date/20160407#Recalled_C_Jason_Dickinson_from_Texas_(AHL).	*Find or create each transaction and curate as per guidelines* Transaction: Recalled C Jason Dickinson from Texas (AHL). # Date: 2016-04-07 # URL: http://espn.go.com/nhl/transactions/_/date/20160407#Recalled_C_Jason_Dickinson_from_Texas_(AHL).	SPLGROSTNhl	transactions/_/date/20160407#Recalled_C_Jason_Dickinson_from_Texas_(AHL).	transactions/_/date/20160407#Recalled_C_Jason_Dickinson_from_Texas_(AHL).
/common/topic	Recalled F Derek Ryan from Charlotte (AHL).	http://espn.go.com/nhl/transactions/_/date/20160407#Recalled_F_Derek_Ryan_from_Charlotte_(AHL).	*Find or create each transaction and curate as per guidelines* Transaction: Recalled F Derek Ryan from Charlotte (AHL). # Date: 2016-04-07 # URL: http://espn.go.com/nhl/transactions/_/date/20160407#Recalled_F_Derek_Ryan_from_Charlotte_(AHL).	SPLGROSTNhl	transactions/_/date/20160407#Recalled_F_Derek_Ryan_from_Charlotte_(AHL).	transactions/_/date/20160407#Recalled_F_Derek_Ryan_from_Charlotte_(AHL).
/common/topic	Recalled F Jonathan Drouin and D Matt Taormina from Syracuse (AHL). Assigned D Slater Koekkoek to Syracuse.	http://espn.go.com/nhl/transactions/_/date/20160407#Recalled_F_Jonathan_Drouin_and_D_Matt_Taormina_from_Syracuse_(AHL)._Assigned_D_Slater_Koekkoek_to_Syracuse.	*Find or create each transaction and curate as per guidelines* Transaction: Recalled F Jonathan Drouin and D Matt Taormina from Syracuse (AHL). Assigned D Slater Koekkoek to Syracuse. # Date: 2016-04-07 # URL: http://espn.go.com/nhl/transactions/_/date/20160407#Recalled_F_Jonathan_Drouin_and_D_Matt_Taormina_from_Syracuse_(AHL)._Assigned_D_Slater_Koekkoek_to_Syracuse.	SPLGROSTNhl	transactions/_/date/20160407#Recalled_F_Jonathan_Drouin_and_D_Matt_Taormina_from_Syracuse_(AHL)._Assigned_D_Slater_Koekkoek_to_Syracuse.	transactions/_/date/20160407#Recalled_F_Jonathan_Drouin_and_D_Matt_Taormina_from_Syracuse_(AHL)._Assigned_D_Slater_Koekkoek_to_Syracuse.
/common/topic	Signed D Caleb Jones to a three-year entry level contract and G Nick Ellis to a two-year entry level contract .	http://espn.go.com/nhl/transactions/_/date/20160407#Signed_D_Caleb_Jones_to_a_three-year_entry_level_contract_and_G_Nick_Ellis_to_a_two-year_entry_level_contract_.	*Find or create each transaction and curate as per guidelines* Transaction: Signed D Caleb Jones to a three-year entry level contract and G Nick Ellis to a two-year entry level contract . # Date: 2016-04-07 # URL: http://espn.go.com/nhl/transactions/_/date/20160407#Signed_D_Caleb_Jones_to_a_three-year_entry_level_contract_and_G_Nick_Ellis_to_a_two-year_entry_level_contract_.	SPLGROSTNhl	transactions/_/date/20160407#Signed_D_Caleb_Jones_to_a_three-year_entry_level_contract_and_G_Nick_Ellis_to_a_two-year_entry_level_contract_.	transactions/_/date/20160407#Signed_D_Caleb_Jones_to_a_three-year_entry_level_contract_and_G_Nick_Ellis_to_a_two-year_entry_level_contract_.
/common/topic	Assigned D Jack Dougherty to Milwaukee (AHL).	http://espn.go.com/nhl/transactions/_/date/20160408#Assigned_D_Jack_Dougherty_to_Milwaukee_(AHL).	*Find or create each transaction and curate as per guidelines* Transaction: Assigned D Jack Dougherty to Milwaukee (AHL). # Date: 2016-04-08 # URL: http://espn.go.com/nhl/transactions/_/date/20160408#Assigned_D_Jack_Dougherty_to_Milwaukee_(AHL).	SPLGROSTNhl	transactions/_/date/20160408#Assigned_D_Jack_Dougherty_to_Milwaukee_(AHL).	transactions/_/date/20160408#Assigned_D_Jack_Dougherty_to_Milwaukee_(AHL).
/common/topic	Assigned Fs Blake Pietila and Mike Sislo and D Vojtek Mozik to Albany (AHL). Assigned F Pavel Zacha from Sarnia (OHL) to Albany (AHL) and recalled him from Albany. Signed D Steven Santini, D Joshua Jacobs and F Miles Wood to three-year contracts.	http://espn.go.com/nhl/transactions/_/date/20160408#Assigned_Fs_Blake_Pietila_and_Mike_Sislo_and_D_Vojtek_Mozik_to_Albany_(AHL)._Assigned_F_Pavel_Zacha_from_Sarnia_(OHL)_to_Albany_(AHL)_and_recalled_him_from_Albany._Signed_D_Steven_Santini,_D_Joshua_Jacobs_and_F_Miles_Wood_to_three-year_contracts.	*Find or create each transaction and curate as per guidelines* Transaction: Assigned Fs Blake Pietila and Mike Sislo and D Vojtek Mozik to Albany (AHL). Assigned F Pavel Zacha from Sarnia (OHL) to Albany (AHL) and recalled him from Albany. Signed D Steven Santini, D Joshua Jacobs and F Miles Wood to three-year contracts. # Date: 2016-04-08 # URL: http://espn.go.com/nhl/transactions/_/date/20160408#Assigned_Fs_Blake_Pietila_and_Mike_Sislo_and_D_Vojtek_Mozik_to_Albany_(AHL)._Assigned_F_Pavel_Zacha_from_Sarnia_(OHL)_to_Albany_(AHL)_and_recalled_him_from_Albany._Signed_D_Steven_Santini,_D_Joshua_Jacobs_and_F_Miles_Wood_to_three-year_contracts.	SPLGROSTNhl	transactions/_/date/20160408#Assigned_Fs_Blake_Pietila_and_Mike_Sislo_and_D_Vojtek_Mozik_to_Albany_(AHL)._Assigned_F_Pavel_Zacha_from_Sarnia_(OHL)_to_Albany_(AHL)_and_recalled_him_from_Albany._Signed_D_Steven_Santini,_D_Joshua_Jacobs_and_F_Miles_Wood_to_three-year_contracts.	transactions/_/date/20160408#Assigned_Fs_Blake_Pietila_and_Mike_Sislo_and_D_Vojtek_Mozik_to_Albany_(AHL)._Assigned_F_Pavel_Zacha_from_Sarnia_(OHL)_to_Albany_(AHL)_and_recalled_him_from_Albany._Signed
/common/topic	Reassigned C Jason Dickinson to Texas (AHL).	http://espn.go.com/nhl/transactions/_/date/20160408#Reassigned_C_Jason_Dickinson_to_Texas_(AHL).	*Find or create each transaction and curate as per guidelines* Transaction: Reassigned C Jason Dickinson to Texas (AHL). # Date: 2016-04-08 # URL: http://espn.go.com/nhl/transactions/_/date/20160408#Reassigned_C_Jason_Dickinson_to_Texas_(AHL).	SPLGROSTNhl	transactions/_/date/20160408#Reassigned_C_Jason_Dickinson_to_Texas_(AHL).	transactions/_/date/20160408#Reassigned_C_Jason_Dickinson_to_Texas_(AHL).
/common/topic	Reassigned F Patrick Brown to Charlotte (AHL). Recalled F Brendan Woods from Charlotte.	http://espn.go.com/nhl/transactions/_/date/20160408#Reassigned_F_Patrick_Brown_to_Charlotte_(AHL)._Recalled_F_Brendan_Woods_from_Charlotte.	*Find or create each transaction and curate as per guidelines* Transaction: Reassigned F Patrick Brown to Charlotte (AHL). Recalled F Brendan Woods from Charlotte. # Date: 2016-04-08 # URL: http://espn.go.com/nhl/transactions/_/date/20160408#Reassigned_F_Patrick_Brown_to_Charlotte_(AHL)._Recalled_F_Brendan_Woods_from_Charlotte.	SPLGROSTNhl	transactions/_/date/20160408#Reassigned_F_Patrick_Brown_to_Charlotte_(AHL)._Recalled_F_Brendan_Woods_from_Charlotte.	transactions/_/date/20160408#Reassigned_F_Patrick_Brown_to_Charlotte_(AHL)._Recalled_F_Brendan_Woods_from_Charlotte.
/common/topic	Recalled D Joakim Andersson from Grand Rapids (AHL).	http://espn.go.com/nhl/transactions/_/date/20160408#Recalled_D_Joakim_Andersson_from_Grand_Rapids_(AHL).	*Find or create each transaction and curate as per guidelines* Transaction: Recalled D Joakim Andersson from Grand Rapids (AHL). # Date: 2016-04-08 # URL: http://espn.go.com/nhl/transactions/_/date/20160408#Recalled_D_Joakim_Andersson_from_Grand_Rapids_(AHL).	SPLGROSTNhl	transactions/_/date/20160408#Recalled_D_Joakim_Andersson_from_Grand_Rapids_(AHL).	transactions/_/date/20160408#Recalled_D_Joakim_Andersson_from_Grand_Rapids_(AHL).
/common/topic	Recalled F Marek Hrivik from Hartford (AHL) and D Troy Donnay from Greenville (ECHL) to Hartford.	http://espn.go.com/nhl/transactions/_/date/20160408#Recalled_F_Marek_Hrivik_from_Hartford_(AHL)_and_D_Troy_Donnay_from_Greenville_(ECHL)_to_Hartford.	*Find or create each transaction and curate as per guidelines* Transaction: Recalled F Marek Hrivik from Hartford (AHL) and D Troy Donnay from Greenville (ECHL) to Hartford. # Date: 2016-04-08 # URL: http://espn.go.com/nhl/transactions/_/date/20160408#Recalled_F_Marek_Hrivik_from_Hartford_(AHL)_and_D_Troy_Donnay_from_Greenville_(ECHL)_to_Hartford.	SPLGROSTNhl	transactions/_/date/20160408#Recalled_F_Marek_Hrivik_from_Hartford_(AHL)_and_D_Troy_Donnay_from_Greenville_(ECHL)_to_Hartford.	transactions/_/date/20160408#Recalled_F_Marek_Hrivik_from_Hartford_(AHL)_and_D_Troy_Donnay_from_Greenville_(ECHL)_to_Hartford.
/common/topic	Recalled F Raphael Bussieres from Quad City (ECHL) to Iowa (AHL).	http://espn.go.com/nhl/transactions/_/date/20160408#Recalled_F_Raphael_Bussieres_from_Quad_City_(ECHL)_to_Iowa_(AHL).	*Find or create each transaction and curate as per guidelines* Transaction: Recalled F Raphael Bussieres from Quad City (ECHL) to Iowa (AHL). # Date: 2016-04-08 # URL: http://espn.go.com/nhl/transactions/_/date/20160408#Recalled_F_Raphael_Bussieres_from_Quad_City_(ECHL)_to_Iowa_(AHL).	SPLGROSTNhl	transactions/_/date/20160408#Recalled_F_Raphael_Bussieres_from_Quad_City_(ECHL)_to_Iowa_(AHL).	transactions/_/date/20160408#Recalled_F_Raphael_Bussieres_from_Quad_City_(ECHL)_to_Iowa_(AHL).
/common/topic	Signed D Joel Edmundson to a two-year contract. Assigned F Zack Phillips from Chicago (AHL) to Kalamazoo (ECHL).	http://espn.go.com/nhl/transactions/_/date/20160408#Signed_D_Joel_Edmundson_to_a_two-year_contract._Assigned_F_Zack_Phillips_from_Chicago_(AHL)_to_Kalamazoo_(ECHL).	*Find or create each transaction and curate as per guidelines* Transaction: Signed D Joel Edmundson to a two-year contract. Assigned F Zack Phillips from Chicago (AHL) to Kalamazoo (ECHL). # Date: 2016-04-08 # URL: http://espn.go.com/nhl/transactions/_/date/20160408#Signed_D_Joel_Edmundson_to_a_two-year_contract._Assigned_F_Zack_Phillips_from_Chicago_(AHL)_to_Kalamazoo_(ECHL).	SPLGROSTNhl	transactions/_/date/20160408#Signed_D_Joel_Edmundson_to_a_two-year_contract._Assigned_F_Zack_Phillips_from_Chicago_(AHL)_to_Kalamazoo_(ECHL).	transactions/_/date/20160408#Signed_D_Joel_Edmundson_to_a_two-year_contract._Assigned_F_Zack_Phillips_from_Chicago_(AHL)_to_Kalamazoo_(ECHL).
/common/topic	Assigned F Marek Hrivik to Hartford (AHL).	http://espn.go.com/nhl/transactions/_/date/20160409#Assigned_F_Marek_Hrivik_to_Hartford_(AHL).	*Find or create each transaction and curate as per guidelines* Transaction: Assigned F Marek Hrivik to Hartford (AHL). # Date: 2016-04-09 # URL: http://espn.go.com/nhl/transactions/_/date/20160409#Assigned_F_Marek_Hrivik_to_Hartford_(AHL).	SPLGROSTNhl	transactions/_/date/20160409#Assigned_F_Marek_Hrivik_to_Hartford_(AHL).	transactions/_/date/20160409#Assigned_F_Marek_Hrivik_to_Hartford_(AHL).
/common/topic	Reassigned LW Curtis McKenzie to Texas (AHL).	http://espn.go.com/nhl/transactions/_/date/20160409#Reassigned_LW_Curtis_McKenzie_to_Texas_(AHL).	*Find or create each transaction and curate as per guidelines* Transaction: Reassigned LW Curtis McKenzie to Texas (AHL). # Date: 2016-04-09 # URL: http://espn.go.com/nhl/transactions/_/date/20160409#Reassigned_LW_Curtis_McKenzie_to_Texas_(AHL).	SPLGROSTNhl	transactions/_/date/20160409#Reassigned_LW_Curtis_McKenzie_to_Texas_(AHL).	transactions/_/date/20160409#Reassigned_LW_Curtis_McKenzie_to_Texas_(AHL).
/common/topic	Recalled D Adam Pelech and Fs Bracken Kearns and Alan Quine from Bridgeport (AHL).	http://espn.go.com/nhl/transactions/_/date/20160409#Recalled_D_Adam_Pelech_and_Fs_Bracken_Kearns_and_Alan_Quine_from_Bridgeport_(AHL).	*Find or create each transaction and curate as per guidelines* Transaction: Recalled D Adam Pelech and Fs Bracken Kearns and Alan Quine from Bridgeport (AHL). # Date: 2016-04-09 # URL: http://espn.go.com/nhl/transactions/_/date/20160409#Recalled_D_Adam_Pelech_and_Fs_Bracken_Kearns_and_Alan_Quine_from_Bridgeport_(AHL).	SPLGROSTNhl	transactions/_/date/20160409#Recalled_D_Adam_Pelech_and_Fs_Bracken_Kearns_and_Alan_Quine_from_Bridgeport_(AHL).	transactions/_/date/20160409#Recalled_D_Adam_Pelech_and_Fs_Bracken_Kearns_and_Alan_Quine_from_Bridgeport_(AHL).
/common/topic	Recalled D Corey Potter and G Marek Mazanec from Milwaukee (AHL).	http://espn.go.com/nhl/transactions/_/date/20160409#Recalled_D_Corey_Potter_and_G_Marek_Mazanec_from_Milwaukee_(AHL).	*Find or create each transaction and curate as per guidelines* Transaction: Recalled D Corey Potter and G Marek Mazanec from Milwaukee (AHL). # Date: 2016-04-09 # URL: http://espn.go.com/nhl/transactions/_/date/20160409#Recalled_D_Corey_Potter_and_G_Marek_Mazanec_from_Milwaukee_(AHL).	SPLGROSTNhl	transactions/_/date/20160409#Recalled_D_Corey_Potter_and_G_Marek_Mazanec_from_Milwaukee_(AHL).	transactions/_/date/20160409#Recalled_D_Corey_Potter_and_G_Marek_Mazanec_from_Milwaukee_(AHL).
/common/topic	Signed C Nicolas Roy to a three year, entry-level contract.	http://espn.go.com/nhl/transactions/_/date/20160409#Signed_C_Nicolas_Roy_to_a_three_year,_entry-level_contract.	*Find or create each transaction and curate as per guidelines* Transaction: Signed C Nicolas Roy to a three year, entry-level contract. # Date: 2016-04-09 # URL: http://espn.go.com/nhl/transactions/_/date/20160409#Signed_C_Nicolas_Roy_to_a_three_year,_entry-level_contract.	SPLGROSTNhl	transactions/_/date/20160409#Signed_C_Nicolas_Roy_to_a_three_year,_entry-level_contract.	transactions/_/date/20160409#Signed_C_Nicolas_Roy_to_a_three_year,_entry-level_contract.
/common/topic	Signed D Joshua Jacobs to a three-year, entry-level contract.	http://espn.go.com/nhl/transactions/_/date/20160409#Signed_D_Joshua_Jacobs_to_a_three-year,_entry-level_contract.	*Find or create each transaction and curate as per guidelines* Transaction: Signed D Joshua Jacobs to a three-year, entry-level contract. # Date: 2016-04-09 # URL: http://espn.go.com/nhl/transactions/_/date/20160409#Signed_D_Joshua_Jacobs_to_a_three-year,_entry-level_contract.	SPLGROSTNhl	transactions/_/date/20160409#Signed_D_Joshua_Jacobs_to_a_three-year,_entry-level_contract.	transactions/_/date/20160409#Signed_D_Joshua_Jacobs_to_a_three-year,_entry-level_contract.
